text,label,channel,language,source,expected_binary_label,predicted_binary_label,prediction_confidence,correct
Your savings account has unusual activity. Please verify using the official Example Bank app only. We will never ask for your PIN or OTP.,legitimate,sms,en,challenge_set,legitimate,legitimate,0.7350985238813619,True
Your electricity payment receipt is ready. Sign in through the official utility application to view it.,legitimate,sms,en,challenge_set,legitimate,legitimate,0.7462911482819319,True
Your delivery has reached the local hub. Track it through the Sample Courier mobile app.,legitimate,sms,en,challenge_set,legitimate,legitimate,0.6020467395428039,True
Your examination hall ticket can be downloaded from the official Demo College student portal.,legitimate,email,en,challenge_set,legitimate,legitimate,0.7694496670492883,True
"Security notice: Never disclose OTP, UPI PIN, passwords, or card details to anyone claiming to help you.",legitimate,sms,en,challenge_set,legitimate,legitimate,0.6396961151846368,True
ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಸ್ಟೇಟ್ಮೆಂಟ್ ಅಧಿಕೃತ ಅಪ್ಲಿಕೇಶನ್‌ನಲ್ಲಿ ಲಭ್ಯವಿದೆ. OTP ಅನ್ನು ಯಾರೊಂದಿಗೂ ಹಂಚಿಕೊಳ್ಳಬೇಡಿ.,legitimate,sms,kn,challenge_set,legitimate,legitimate,0.7445510360353884,True
Your Example Bank profile needs verification. Reply with the code sent to your phone to avoid account closure.,payment_or_credential_scam,sms,en,challenge_set,suspicious,suspicious,0.7900007451297345,True
Your account access will end this evening. Share the verification code now to keep it active.,payment_or_credential_scam,call,en,challenge_set,suspicious,suspicious,0.6191371558680102,True
Please provide your login password so our support team can restore your account.,payment_or_credential_scam,call,en,challenge_set,suspicious,suspicious,0.6047072942740891,True
Your KYC review failed. Tell us the code received on your device to complete the process.,payment_or_credential_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.7726819118841389,True
Aapka account verification pending hai. Abhi code bataiye warna service band ho jayegi.,payment_or_credential_scam,call,hinglish,challenge_set,suspicious,suspicious,0.6582802981085513,True
An investigation has been opened in your name. Remain connected while we complete the verification procedure.,authority_impersonation_scam,call,en,challenge_set,suspicious,suspicious,0.5591355017880171,True
Your identity document has been connected to a legal complaint. Move funds for temporary verification.,authority_impersonation_scam,call,en,challenge_set,suspicious,suspicious,0.7241812556902051,True
This is Sample Cyber Office. You must stay on the call while your case is reviewed.,authority_impersonation_scam,call,en,challenge_set,suspicious,suspicious,0.7534176093555622,True
Aapke naam par case register hua hai. Call disconnect mat kijiye aur kisi ko mat batayiye.,authority_impersonation_scam,call,hinglish,challenge_set,suspicious,suspicious,0.593160137336829,True
ನಿಮ್ಮ ಗುರುತಿನ ದಾಖಲೆ ತಪ್ಪಾಗಿ ಬಳಸಲಾಗಿದೆ. ಕರೆ ಕಡಿತಗೊಳಿಸಬೇಡಿ.,authority_impersonation_scam,call,kn,challenge_set,suspicious,legitimate,0.6263775054871029,False
Download ScreenHelpDemo so I can inspect the error in your payment application.,remote_access_scam,call,en,challenge_set,suspicious,legitimate,0.5519771607010313,False
Open SupportDemo and allow it to view your display so I can fix the transaction issue.,remote_access_scam,call,en,challenge_set,suspicious,suspicious,0.5705601247368874,True
Install RemoteAssistDemo from the link I sent to complete account support.,remote_access_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.7166609916921631,True
Please activate the accessibility feature in SupportDemo so our agent can guide you.,remote_access_scam,call,en,challenge_set,suspicious,suspicious,0.5764865520548815,True
"Your refund of ₹2,000 is pending. Scan the code and enter your UPI PIN to receive it.",UPI_QR_scam,sms,en,challenge_set,suspicious,suspicious,0.7792346778615639,True
Accept the payment collection request to claim your reward amount.,UPI_QR_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.8098324910106609,True
Use this QR image for refund verification and approve the payment request.,UPI_QR_scam,sms,en,challenge_set,suspicious,suspicious,0.7108589604719117,True
Cashback is waiting. Open the QR payment request and confirm it immediately.,UPI_QR_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.6545225358539484,True
Your scholarship benefit is approved. Submit a small processing amount to activate the release.,fake_payment_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.7136498568766766,True
Your parcel is held for an additional handling payment. Pay the service amount now.,fake_payment_scam,sms,en,challenge_set,suspicious,suspicious,0.6274437875347507,True
Complete the registration payment now to unlock your selected internship offer.,fake_payment_scam,email,en,challenge_set,suspicious,suspicious,0.6695380565267964,True
Pay the document-verification charge before the stated deadline to receive your grant.,fake_payment_scam,whatsapp,en,challenge_set,suspicious,suspicious,0.7676177734497246,True
